3	33	11	35
3	34	7	22
3	35	18	52
3	36	24	84
3	37	34	111
3	38	15	42
3	39	20	70
3	40	17	48
3	41	20	59
3	42	12	45
3	43	7	26
3	44	20	72
3	45	20	70
3	46	7	23
3	47	23	63
3	48	5	27
3	49	45	148
3	50	19	63
3	51	8	26
3	52	20	63
3	53	9	32
3	54	6	21
3	55	30	101
3	56	13	41
3	57	11	39
3	58	7	25
3	59	15	40
3	60	7	20
3	61	25	93
3	62	15	41
3	63	6	22
3	64	31	97
3	65	15	53
3	66	19	62
3	67	14	44
3	68	13	44
3	69	13	44
3	70	8	30
3	71	10	42
3	72	17	58
3	73	32	90
3	74	8	27
3	75	36	118
3	76	9	28
3	77	27	92
3	78	29	95
3	79	28	88
3	80	13	54
3	81	33	116
3	82	7	24
3	83	14	49
3	84	29	98
3	85	13	43
3	86	18	58
3	87	9	37
3	88	9	28
3	89	11	31
3	90	14	46
3	91	24	70
3	92	15	40
3	93	24	73
3	94	11	33
3	95	11	34
3	96	10	34
3	97	25	76
3	98	12	36
3	99	19	60
3	100	14	46
3	101	17	61
3	102	12	37
3	103	34	127
3	104	14	59
3	105	14	47
3	106	17	65
3	107	10	31
3	108	11	36
3	109	11	30
3	110	23	94
3	111	11	38
3	112	35	117
3	113	14	45
3	114	15	65
3	115	9	31
3	116	18	55
3	117	23	80
3	118	30	97
3	119	27	95
3	120	21	73
3	121	11	41
3	122	12	45
3	123	10	39
3	124	13	53
3	125	15	57
3	126	17	52
3	127	9	34
3	128	12	40
3	129	16	46
3	130	12	41
3	131	5	17
3	132	5	20
3	133	11	43
3	134	13	48
3	135	23	75
3	136	15	54
3	137	13	42
3	138	6	23
3	139	9	32
3	140	24	83
3	141	6	24
3	142	13	45
3	143	12	48
3	144	27	85
3	145	24	77
3	146	21	59
3	147	19	63
3	148	10	36
3	149	12	44
3	150	6	19
3	151	19	58
3	152	40	137
3	153	25	80
3	154	75	231
3	155	21	67
3	156	36	105
3	157	14	45
3	158	7	23
3	159	30	99
3	160	18	62
3	161	21	58
3	162	13	43
3	163	8	24
3	164	25	87
3	165	20	60
3	166	9	37
3	167	33	113
3	168	16	55
3	169	13	41
3	170	19	64
3	171	11	38
3	172	15	52
3	173	17	54
3	174	15	48
3	175	11	42
3	176	22	65
3	177	12	37
3	178	17	59
3	179	36	111
3	180	30	95
3	181	22	71
3	182	9	31
3	183	28	96
3	184	12	43
3	185	23	78
3	186	24	86
3	187	21	74
3	188	20	67
3	189	9	28
3	190	11	39
3	191	21	72
3	192	11	36
3	193	20	70
3	194	14	44
3	195	43	144
3	196	7	21
3	197	7	25
3	198	21	65
3	199	30	98
3	200	10	36
4	1	28	88
4	2	16	58
4	3	28	85
4	4	14	45
4	5	16	54
4	6	37	142
4	7	19	68
4	8	13	49
4	9	15	52
4	10	13	47
4	11	71	222
4	12	88	250
4	13	18	61
4	14	13	43
4	15	22	82
4	16	14	49
4	17	20	64
4	18	24	79
4	19	34	119
4	20	17	65
4	21	11	40
4	22	17	46
4	23	54	206
4	24	42	144
4	25	58	218
4	26	14	51
4	27	13	43
4	28	8	27
4	29	23	75
4	30	13	41
4	31	12	46
4	32	27	78
4	33	19	66
4	34	40	139
4	35	22	70
4	36	32	109
4	37	15	59
4	38	18	62
4	39	15	50
4	40	15	45
4	41	12	35
4	42	14	45
4	43	48	146
4	44	14	43
4	45	9	32
4	46	38	137
4	47	28	88
4	48	20	56
4	49	14	42
4	50	10	31
4	51	20	65
4	52	11	34
4	53	10	27
4	54	18	60
4	55	11	33
4	56	20	67
4	57	20	74
4	58	25	76
4	59	28	95
4	60	30	95
4	61	15	47
4	62	16	56
4	63	16	52
4	64	23	75
4	65	19	60
4	66	27	84
4	67	6	19
4	68	3	16
4	69	18	64
4	70	7	20
4	71	10	32
4	72	17	52
4	73	18	64
4	74	21	70
4	75	31	99
4	76	20	64
4	77	48	154
4	78	36	116
4	79	18	56
4	80	12	38
4	81	24	79
4	82	13	42
4	83	30	106
4	84	22	66
4	85	22	63
4	86	15	43
4	87	17	49
4	88	22	68
4	89	28	94
4	90	36	135
4	91	32	128
4	92	60	203
4	93	16	57
4	94	39	126
4	95	33	126
4	96	8	29
4	97	27	94
4	98	12	45
4	99	10	30
4	100	31	94
4	101	23	74
4	102	62	229
4	103	20	72
4	104	22	67
4	105	15	49
4	106	7	20
4	107	14	40
4	108	21	62
4	109	18	61
4	110	13	40
4	111	11	36
4	112	14	44
4	113	33	112
4	114	26	77
4	115	20	66
4	116	20	55
4	117	11	32
4	118	8	28
4	119	21	93
4	120	7	27
4	121	7	25
4	122	21	68
4	123	20	56
4	124	16	54
4	125	17	59
4	126	12	30
4	127	40	131
4	128	29	97
4	129	22	75
4	130	11	32
4	131	32	89
4	132	10	26
4	133	12	37
4	134	14	42
4	135	37	120
4	136	28	100
4	137	20	58
4	138	6	21
4	139	14	57
4	140	33	106
4	141	36	129
4	142	19	58
4	143	16	47
4	144	17	61
4	145	11	33
4	146	18	66
4	147	11	37
4	148	14	37
4	149	14	36
4	150	22	81
4	151	8	31
4	152	17	60
4	153	37	125
4	154	19	63
4	155	22	83
4	156	6	26
4	157	34	97
4	158	8	22
4	159	14	48
4	160	14	48
4	161	14	55
4	162	26	103
4	163	25	100
4	164	14	49
4	165	15	47
4	166	13	50
4	167	11	28
4	168	12	39
4	169	11	31
4	170	23	68
4	171	53	152
4	172	18	75
4	173	26	91
4	174	11	37
4	175	15	57
4	176	50	153
5	1	23	74
5	2	52	170
5	3	61	227
5	4	31	102
5	5	43	159
5	6	61	221
5	7	19	62
5	8	26	83
5	9	10	33
5	10	7	27
5	11	23	84
5	12	45	168
5	13	32	110
5	14	25	87
5	15	23	71
5	16	18	60
5	17	42	121
5	18	30	111
5	19	28	81
5	20	22	71
5	21	14	51
5	22	17	51
5	23	21	75
5	24	16	45
5	25	13	40
5	26	14	49
5	27	24	83
5	28	16	51
5	29	13	42
5	30	9	34
5	31	25	83
5	32	40	129
5	33	34	109
5	34	13	37
5	35	13	46
5	36	24	70
5	37	12	36
5	38	13	43
5	39	14	41
5	40	19	57
5	41	67	216
5	42	26	96
5	43	15	56
5	44	41	134
5	45	31	110
5	46	26	93
5	47	16	52
5	48	51	186
5	49	33	110
5	50	10	37
5	51	22	77
5	52	28	87
5	53	15	62
5	54	37	122
5	55	13	47
5	56	11	36
5	57	23	75
5	58	12	41
5	59	20	63
5	60	27	89
5	61	16	48
5	62	13	47
5	63	13	51
5	64	47	167
5	65	12	48
5	66	24	86
5	67	24	71
5	68	30	97
5	69	20	65
5	70	19	68
5	71	19	57
5	72	33	102
5	73	25	72
5	74	8	29
5	75	25	77
5	76	16	42
5	77	23	65
5	78	17	50
5	79	10	30
